round,seed,condition,algorithm,selection_mode,selection_budget,candidate_agent_ids,selected_agent_ids
55,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;2;4;5
56,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,2;4;5;6
57,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;2;3;6
58,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;1;5;6
59,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;1;2;5
60,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;2;3;6
61,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;4;5;7
62,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;1;5;7
63,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;2;4;7
64,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,2;4;5;7
65,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;1;4;6
66,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;1;4;6
67,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;2;4;6
68,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;1;2;4
69,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;2;3;5
70,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,3;4;5;7
71,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;2;4;7
72,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,2;5;6;7
73,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;5;6;7
74,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,2;3;4;6
75,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;1;3;7
76,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,2;3;4;6
77,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;1;6;7
78,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;3;5;6
79,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;2;5;6
80,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;1;5;7
81,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;2;4;5
82,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,3;4;6;7
83,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,2;4;5;6
84,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;3;5;7
85,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;2;5;6
86,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;1;3;6
87,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;2;3;5
88,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,3;5;6;7
89,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;2;3;7
90,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;2;5;7
91,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;2;5;6
92,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,3;4;6;7
93,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,3;4;6;7
94,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;1;4;7
95,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,2;3;5;7
96,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;2;4;7
97,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,0;1;4;7
98,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,2;4;6;7
99,41,standard,fedadagrad,random,4,0;1;2;3;4;5;6;7,1;3;4;7
